1,0,7,1000,0,0,0,0
2,3,6,33,2,1,1,1
3,2,2,61,2,0,1,1
4,0,1,46,0,0,0,0
5,1,5,120,0,0,0,0
6,2,5,95,0,0,1,1
7,3,3,108,1,1,0,0
8,1,2,26,2,0,0,1
9,0,6,64,0,0,0,0
10,2,3,71,2,0,0,0
11,1,4,71,1,1,1,1
12,2,6,51,0,1,0,0
13,3,2,56,0,0,0,1
14,2,3,93,2,0,1,1
15,0,2,28,0,0,0,0
16,3,3,110,0,1,0,1
17,3,4,102,1,0,1,1
18,3,6,47,0,0,0,1
19,0,6,57,0,0,0,0
20,3,5,41,0,0,0,0
21,0,1,58,1,1,1,0
22,3,3,70,1,0,1,0
23,2,2,10,0,0,0,1
24,3,3,83,1,1,1,0
25,1,2,85,1,0,0,1
26,0,0,19,1,0,1,1
27,2,3,58,1,0,1,1
28,1,3,55,2,0,1,1
29,1,1,114,1,1,0,1
30,0,2,2,1,1,1,0
31,3,2,20,2,0,1,1
32,1,0,99,0,1,0,1
33,1,0,85,1,1,1,0
34,2,4,67,1,0,0,0
35,3,4,30,1,0,0,0
36,0,4,2,1,1,1,0
37,3,1,14,1,1,1,1
38,3,3,98,0,1,1,1
39,3,1,45,1,0,1,1
40,2,2,62,1,0,0,1
41,2,0,83,2,1,0,1
42,1,2,113,0,0,1,0
43,0,4,100,2,0,0,1
44,1,2,83,1,1,0,0
45,3,2,9,0,0,0,1
46,0,3,50,1,1,0,1
47,0,2,24,0,1,1,1
48,2,0,15,2,0,0,1
49,3,1,45,0,1,0,0
50,1,2,53,1,0,0,0
51,3,2,64,0,0,0,1
52,1,1,66,2,1,1,0
53,2,4,103,0,0,1,0
54,1,3,32,0,0,0,1
55,0,0,120,2,1,1,0
56,0,0,15,2,0,0,0
57,1,4,54,2,0,0,0
58,0,2,8,1,0,1,0
59,0,1,54,0,0,1,1
60,1,4,35,0,1,0,1
61,0,0,58,1,1,1,0
62,3,3,26,0,0,0,0
63,0,3,64,2,0,0,0
64,1,4,113,2,1,1,0
65,3,4,86,1,1,1,1
66,3,4,76,1,0,0,1
67,0,0,87,2,1,1,1
68,2,3,62,0,0,1,1
69,0,1,18,1,1,0,0
70,0,4,74,2,1,0,1
71,3,0,111,2,0,0,1
72,0,4,46,0,0,1,1
73,2,3,47,0,0,0,0
74,0,4,94,2,0,0,0
75,3,2,38,1,0,0,0
76,0,0,52,2,1,0,0
77,0,1,90,2,1,0,0
78,2,2,103,0,1,1,1
79,0,3,68,1,1,1,0
80,3,1,93,2,1,0,1
81,3,2,90,1,0,0,0
82,3,1,87,2,0,0,0
83,1,3,84,0,1,1,1
84,1,3,43,2,0,1,1
85,3,0,43,2,0,0,0
86,3,1,27,0,1,1,1
87,2,3,58,1,0,0,0
88,3,4,91,2,1,0,1
89,2,2,54,2,0,1,1
90,1,0,83,0,1,1,0
91,2,0,104,2,1,1,1
92,1,0,6,0,0,0,1
93,2,1,18,2,0,1,0
94,1,3,94,0,0,0,0
95,3,3,98,0,1,0,0
96,3,4,48,0,1,1,1
97,2,2,58,1,1,1,1
98,0,2,41,1,0,1,0
99,2,3,99,2,1,1,1
100,2,3,45,1,0,1,1
101,3,2,88,1,0,0,1
102,3,1,16,2,1,1,1
103,3,1,29,0,1,1,0
104,0,4,59,2,1,1,1
105,2,3,36,2,0,1,0
106,1,3,23,1,0,1,1
107,2,3,120,1,0,0,1
108,1,4,112,0,1,1,1
109,1,1,8,1,0,1,1
110,3,1,60,0,1,1,0
111,0,1,81,2,0,0,1
112,3,4,29,1,0,0,0
113,3,4,56,1,0,1,0
114,3,0,85,0,0,0,1
115,2,0,15,0,1,0,0
116,2,4,89,2,1,1,1
117,1,0,114,1,0,0,0
118,0,2,11,0,1,1,1
119,0,0,71,1,0,0,0
120,2,4,11,2,1,1,0
121,3,4,51,2,0,0,1
122,3,4,67,2,0,1,1
123,0,2,38,0,1,0,1
124,3,0,72,0,0,0,0
125,0,1,102,0,1,0,0
126,2,0,55,1,1,1,1
127,1,1,29,2,1,1,0
128,0,3,34,0,0,0,1
129,1,4,47,1,0,1,1
130,0,3,99,0,0,1,1
131,1,3,97,2,1,1,0
132,1,2,3,0,0,1,0
133,3,3,71,1,1,0,1
134,0,2,75,2,0,1,0
135,2,3,55,2,1,1,0
136,2,2,12,1,0,0,0
137,0,4,95,0,0,1,0
138,0,2,81,2,1,0,0
139,0,0,32,1,0,1,0
140,3,4,73,0,0,0,1
141,0,1,93,1,0,0,0
142,0,1,112,0,0,1,0
143,3,3,102,1,1,0,1
144,1,2,119,0,0,0,0
145,0,2,78,1,0,1,0
146,0,1,25,1,0,0,1
147,3,3,90,1,0,0,1
148,3,0,90,1,1,0,1
149,3,0,65,0,1,1,0
150,3,1,15,2,1,1,0
151,3,2,57,2,1,1,0
152,2,0,20,0,1,1,0
153,0,3,36,0,1,1,1
154,2,3,119,1,1,1,1
155,1,3,43,1,0,0,1
156,2,4,101,0,1,1,1
157,1,0,97,2,1,1,1
158,1,3,49,0,1,1,1
159,3,1,25,2,0,1,0
160,2,4,48,0,1,0,1
161,0,0,68,2,1,0,1
162,1,2,99,0,0,1,1
163,1,4,31,0,1,1,0
164,2,2,5,1,1,1,0
165,2,2,17,2,1,0,0
166,0,3,15,1,1,1,1
167,2,2,44,2,0,1,1
168,2,0,30,0,1,0,0
169,0,2,82,0,0,0,1
170,0,2,93,1,0,0,0
171,2,4,109,1,1,0,1
172,3,4,99,0,0,1,0
173,0,1,86,2,0,0,1
174,3,0,7,1,1,1,1
175,3,3,46,0,1,1,0
176,3,4,45,0,0,1,0
177,2,0,14,0,0,1,0
178,2,3,98,2,1,0,0
179,1,0,5,1,1,0,1
180,1,4,6,0,1,1,1
181,3,3,116,1,1,0,1
182,2,1,75,1,0,0,1
183,1,2,56,1,0,0,1
184,1,4,29,1,1,0,0
185,3,4,37,0,0,1,1
186,2,4,110,0,1,0,0
187,1,1,108,0,0,0,1
188,1,2,70,1,0,0,0
189,3,0,75,0,0,0,0
190,2,1,19,2,0,0,0
191,3,4,50,2,1,1,1
192,1,4,49,0,1,0,1
193,2,4,16,1,1,0,0
194,1,4,83,1,0,1,1
195,2,2,6,0,1,1,0
196,1,4,106,1,1,1,0
197,1,1,45,1,0,0,1
198,1,4,55,1,0,1,0
199,2,2,48,2,0,1,0
200,2,1,110,1,0,1,1
201,2,2,44,1,1,0,1
202,1,1,26,1,1,0,0
203,2,1,48,0,1,0,0
204,2,1,86,2,0,1,0
